00010001MARIA SILVA                   0003C00000150000
00010002JOAO SOUZA                    0001P00000032050
00010003ANA PEREIRA                   0002C00000875099
00010004CARLOS LIMA                   0001C00001200000
00010005BEATRIZ ROCHA                 0003P00000004500
00010006PEDRO ALVES                   0002C00000099990
00010007LUCIA GOMES                   0001P00000230075
00010008RAFAEL DIAS                   0003C00000067000
00010009FERNANDA CRUZ                 0002P00001589040
00010010BRUNO MELO                    0001C00000008825
00010011SOFIA RAMOS                   0003C00000420000
00010012TIAGO NUNES                   0002P00000053010
